no,wip,pid_bomid,lot_size,fcst,routelist,ems_heatblock,bom_list,gw_inventory,wire_stock,bdid_model_mapping,uph,pid_heatblock,locations,machines,cure_time,dedicate_machines,ent_limit,queue_time,transportation_time_table,std_time,lots,times,process_time_ratio,max_setup_times,minute_threshold,peak_period,weight_setup_times,weight_max_setup_times,weight_total_completion_time,weight_cr,weight_tr,setup_time_cwn,setup_time_ck,setup_time_eu,setup_time_mc,setup_time_sc,setup_time_csc,setup_time_usc,setup_time_icsi
0-10,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-10\lots.csv,7000,1.14,180,1000000,0.0,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-11,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-11\lots.csv,7000,1.14,180,1000000,0.1,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-12,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-12\lots.csv,7000,1.14,180,1000000,0.2,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-13,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-13\lots.csv,7000,1.14,180,1000000,0.3,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-14,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-14\lots.csv,7000,1.14,180,1000000,0.4,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-15,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-15\lots.csv,7000,1.14,180,1000000,0.5,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-16,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-16\lots.csv,7000,1.14,180,1000000,0.6,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-17,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-17\lots.csv,7000,1.14,180,1000000,0.7,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-18,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-18\lots.csv,7000,1.14,180,1000000,0.9,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
0-19,./0220/WipOutPlanTime_20220220080523.csv,./0220/product_find_process_id.csv,./0220/process_find_lot_size_and_entity.csv,./0220/FCST_20220220.csv,./0220/Routelist.csv,./0220/ems_heatblock.csv,./0220/bom_list.csv,./0220/gw_inventory.csv,./0220/gw_inventory2.csv,./0220/wb_bdidmodel_mapping.csv,./0220/uph.csv,./0220/process_find_heatblock.csv,./0220/SimuFF_Location.csv,./0220/machines.csv,./0220/cure_time.csv,./0220/dedicate_machines.csv,./0220/ent_limit.csv,./0220/queuetime3.csv,./0220/transportation_time.csv,22-02-20 08:05,output_0-19\lots.csv,7000,1.14,180,1000000,1.0,10000000000,0,0,0.0001,0,30,0,0,84,90,0,72,54
